Unnamed: 0	CTRL_4H	CTRL_24H	SWTX143_50mpk_4h	SWTX143_50mpk_24h	SWTX143_25mpk_4h	SWTX143_25mpk_24h	SWTX143_10mpk_4h	SWTX143_10mpk_24h
DDX11L1	5.98777296760017E-06	0	0	0	0	0	4.23441734417343E-06	0
WASH7P	0.001106365982237	0.00131113731610257	0.00146472014756257	0.00131963826416347	0.0014910358648613	0.00147497197412703	0.00152901108741063	0.0010828174101413
MIR6859-1	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0
MIR1302-9	0	0	0	0	0	0	0	0
MIR1302-10	0	0	0	0	0	0	0	0
MIR1302-11	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0
LOC729737	0.000530629813806333	0.000694736197840933	0.000758915227594867	0.0007678873928016	0.0007170386158319	0.000884394862763033	0.000856307913347467	0.000628058055127533
LOC100132287	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0
LOC100133331	0.0008101131491806	0.000864039174051966	0.0009031442860996	0.000926272767043633	0.000963960083746267	0.00122317811857347	0.00101856405942783	0.000810609421833767
OR4F29	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0
MIR6723	0.0008134721935317	0.000847347387917833	0.00130779226309123	0.0010739107268974	0.00132898579496543	0.00126115665551673	0.001249363036212	0.0009371821539612
LOC100288069	0.0003497222229587	0.0004127059055823	0.000624092220013233	0.000532329853326167	0.000492438001687933	0.000442349741368467	0.000639893424044867	0.00036561727016863
FAM87B	2.18479496499684E-05	8.48827416729657E-06	2.96982316784224E-05	2.22855519530521E-05	1.82025028441411E-05	1.4709793245535E-05	2.27724380930705E-05	4.22454290445773E-06
LINC00115	0.000135560150048067	0.0001998239526377	0.000134277091333841	0.00012155205980081	0.000184457794061033	0.000218376633395067	0.000219246283513933	0.0001072588001637
LINC01128	0.000719108839923567	0.000729221975998967	0.0004741196043513	0.000447615527414533	0.0005520049368649	0.000610828507454867	0.000707222097126933	0.000493998784854696
FAM41C	0	0	7.5091987684914E-06	0	0	0	0	4.22454290445773E-06
LOC100130417	0.000255291003233533	0.000426615715303067	0.0007986999546628	0.000583665653078067	0.000606924355945333	0.000621714757332133	0.0005429781656846	0.0004179783396302
SAMD11	0.00240360475259067	0.00299414765649173	0.00510878977419447	0.00257445682434977	0.00373953381680327	0.00313511170551183	0.00362926927267853	0.00205222179376113
NOC2L	0.00822947916784633	0.00856583350669233	0.0087919343853039	0.0069000559092287	0.008632700319803	0.00830306095445527	0.00929927974342113	0.00628553049954837
KLHL17	0.00158608114908233	0.00212331186677503	0.0021246695512963	0.0014998684464485	0.00227240362787377	0.00202903470117327	0.00262975677488023	0.00174933722950847
PLEKHN1	0.0016652276333955	0.00203826437477557	0.00156322421119627	0.00148750735658507	0.00136646214596523	0.00150381441198777	0.00195724600286697	0.00144491668903167
PERM1	0.0005114046403903	0.000722426875585233	0.000524194172805267	0.0005544698936956	0.000730934216418933	0.000541840856012	0.000915778221676967	0.000710154479926633
