Gene_names	CTRL_4h_1	CTRL_4h_2	CTRL_4h_3	SWTX143_50mpk_4h_1	SWTX143_50mpk_4h_2	SWTX143_50mpk_4h_3
DDX11L1	1	0	0	0	0	0
WASH7P	54	103	71	83	61	59
MIR6859-1	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
MIR1302-9	0	0	0	0	0	0
MIR1302-10	0	0	0	0	0	0
MIR1302-11	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC729737	24	55	32	42	31	32
LOC100132287	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0
LOC100133331	44	70	51	37	39	47
OR4F29	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0
MIR6723	32	73	63	56	70	53
LOC100288069	26	17	24	31	31	24
FAM87B	1	4	0	1	1	2
LINC00115	5	12	11	10	6	3
LINC01128	48	45	48	23	17	25
FAM41C	0	0	0	0	1	0
LOC100130417	10	24	19	38	45	27
SAMD11	124	218	151	254	253	197
NOC2L	431	726	525	398	398	408
KLHL17	77	148	102	109	97	87
PLEKHN1	77	148	117	83	71	62
PERM1	23	49	34	26	20	26
HES4	57	111	90	58	49	66
ISG15	104	239	256	65	65	53
AGRN	6182	13188	9865	6961	6710	6563
RNF223	0	0	3	0	0	0
C1orf159	92	194	145	141	129	134
LINC01342	0	0	0	1	2	1
MIR200B	0	1	1	0	0	0
MIR200A	0	0	1	0	1	3
MIR429	1	0	1	5	0	1
TTLL10	1	1	0	0	0	1
TNFRSF18	0	0	2	0	2	1
TNFRSF4	1	3	3	2	4	3
SDF4	966	1615	1347	1074	1021	982
B3GALT6	108	235	184	138	114	127
FAM132A	6	13	10	6	6	7
UBE2J2	232	432	348	268	239	268
SCNN1D	56	81	62	155	148	127
ACAP3	264	650	481	591	586	565
MIR6726	0	0	0	0	0	0
PUSL1	72	151	139	104	89	98
CPSF3L	383	750	616	550	554	472
MIR6727	0	0	0	0	0	0
CPTP	107	268	210	161	164	142
TAS1R3	10	17	15	18	15	9
DVL1	238	660	506	294	320	290
MIR6808	0	0	0	0	0	0
MXRA8	35	33	33	68	79	64
AURKAIP1	192	331	249	208	208	206
CCNL2	1007	2095	1723	1892	1782	1683
LOC148413	61	127	101	96	67	83
MRPL20	167	325	214	218	162	213
ANKRD65	0	1	3	2	2	0
TMEM88B	0	0	0	1	0	0
LOC102724312	0	0	0	0	1	1
VWA1	3	4	4	1	0	1
ATAD3C	6	9	8	20	22	12
ATAD3B	81	111	112	77	67	79
ATAD3A	129	219	152	119	105	107
TMEM240	18	21	31	23	27	36
SSU72	414	729	594	469	429	408
FNDC10	159	305	258	245	248	239
MIB2	221	454	367	312	307	324
MMP23B	1	4	2	0	1	0
MMP23A	2	3	2	1	4	3
CDK11B	121	167	156	120	119	98
SLC35E2B	193	388	248	370	283	288
CDK11A	65	145	103	92	85	86
SLC35E2	267	682	372	675	579	422
NADK	315	578	460	345	298	301
GNB1	2592	4499	3637	2366	2046	2056
CALML6	0	1	1	0	1	0
TMEM52	1	1	1	2	2	0
CFAP74	1	0	1	0	1	1
GABRD	3	3	6	16	5	9
LOC105378591	0	0	0	1	0	0
PRKCZ	167	311	249	222	162	139
FAAP20	194	387	278	206	224	181
SKI	544	949	771	649	669	617
MORN1	37	90	74	90	87	87
LOC100129534	22	59	30	50	35	42
RER1	671	1302	982	819	754	732
PEX10	165	361	248	260	243	232
PLCH2	16	28	24	40	40	39
PANK4	68	120	77	81	84	60
HES5	0	0	0	0	0	0
LOC115110	9	12	7	26	17	15
TNFRSF14	44	56	68	82	71	60
LOC100996583	0	1	0	1	0	2
FAM213B	80	161	127	188	167	168
MMEL1	20	33	28	41	52	33
TTC34	1	2	1	2	0	0
ACTRT2	0	0	0	0	0	0
LINC00982	12	20	18	17	28	28
PRDM1	21	2	9	4	6	2
PAPD4	447	451	422	398	367	353
MIR4251	0	0	0	0	0	0
ARHGEF16	106	202	130	130	115	132
MEGF6	1702	2948	2108	1780	1764	1485
MIR551A	0	0	1	1	0	0
SEMA3D	10	8	5	20	11	9
WRAP73	84	171	115	106	107	92
TP73	7	15	15	17	11	12
TP73-AS1	163	313	237	296	268	241
CCDC27	1	1	3	0	3	4
SMIM1	16	31	20	44	33	34
LRRC47	255	422	358	310	295	263
CEP104	223	393	339	234	206	204
DFFB	32	51	31	39	40	36
C1orf174	96	138	101	84	69	68
LINC01134	3	1	5	2	0	0
LINC01346	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0
MIR4689	0	1	0	0	0	0
NPHP4	131	207	156	189	160	123
BRCA1	175	188	111	93	70	76
KCNAB2	220	325	230	237	261	226
CHD5	56	149	101	36	41	62
RPL22	1813	3103	2698	2516	2125	2047
LOC102724450	3	9	6	7	10	5
RNF207	184	446	277	463	398	392
ICMT	797	1382	1045	705	595	589
LINC00337	0	0	0	1	1	0
HES3	1	0	0	0	0	0
GPR153	187	299	192	296	266	202
ACOT7	195	289	196	124	111	141
HES2	34	26	29	21	32	30
ESPN	1	4	2	5	2	2
MIR4252	0	0	0	0	0	0
TNFRSF25	50	107	75	119	138	89
PLEKHG5	204	328	264	302	341	288
NOL9	114	193	94	138	109	85
TAS1R1	0	1	2	0	0	0
ZBTB48	52	90	65	71	58	63
KLHL21	107	246	188	199	199	163
PHF13	149	225	141	142	121	133
THAP3	151	307	225	227	185	182
DNAJC11	336	523	431	339	293	260
LOC100505887	0	0	0	0	0	0
CAMTA1	83	163	133	113	123	134
